Date,Price,Open,High,Low,Vol.,Change %
Oct 29 2018,1087.80,1046.00,1093.85,1046.00,7.67,0.04
Oct 26 2018,1044.90,1032.90,1057.00,1022.00,9.18,0.01
Oct 25 2018,1030.80,1036.00,1040.65,1016.40,14.10,-0.01
Oct 24 2018,1045.75,1074.90,1075.95,1031.40,13.66,-0.01
Oct 23 2018,1054.70,1052.75,1064.70,1043.65,10.57,-0.01
Oct 22 2018,1062.65,1110.00,1114.80,1057.35,13.17,-0.04
Oct 19 2018,1101.30,1100.00,1111.00,1070.25,25.42,-0.04
Oct 17 2018,1151.30,1179.00,1179.35,1140.00,12.79,-0.01
Oct 16 2018,1163.80,1146.00,1167.40,1140.00,7.48,0.02
Oct 15 2018,1139.75,1129.90,1146.90,1118.15,8.87,0.01
Oct 12 2018,1126.55,1104.95,1129.00,1101.90,9.06,0.04
Oct 11 2018,1087.80,1064.00,1114.75,1043.00,13.22,-0.01
Oct 10 2018,1102.10,1093.90,1115.85,1084.30,9.50,0.01
Oct 09 2018,1090.05,1121.65,1123.30,1081.20,10.99,-0.02
Oct 08 2018,1109.40,1050.00,1117.00,1025.55,24.68,0.06
Oct 05 2018,1048.85,1099.50,1115.30,1038.15,21.94,-0.07
Oct 04 2018,1122.25,1189.50,1190.40,1106.00,23.21,-0.07
Oct 03 2018,1205.10,1229.50,1239.60,1200.05,7.38,-0.02
Oct 01 2018,1231.70,1257.70,1257.70,1204.00,7.33,-0.02
Sep 28 2018,1257.95,1259.90,1271.70,1247.30,11.07,0.00
Sep 27 2018,1253.75,1255.00,1263.00,1237.50,10.81,0.00
Sep 26 2018,1251.40,1239.00,1253.95,1227.15,6.40,0.02
Sep 25 2018,1230.60,1235.50,1245.00,1195.00,9.72,0.00
Sep 24 2018,1232.05,1214.45,1239.90,1204.50,10.10,0.01
Sep 21 2018,1217.50,1219.00,1237.40,1183.50,19.07,0.01
Sep 19 2018,1210.75,1224.00,1224.00,1201.00,11.27,-0.01
Sep 18 2018,1217.15,1226.00,1239.40,1214.35,7.62,-0.01
Sep 17 2018,1225.90,1250.75,1250.75,1221.60,6.75,-0.02
Sep 14 2018,1253.15,1259.40,1275.60,1247.65,7.88,0.00
Sep 12 2018,1252.50,1251.80,1258.70,1228.85,8.07,0.01
Sep 11 2018,1237.70,1259.00,1268.40,1234.25,10.87,-0.01
Sep 10 2018,1255.85,1275.00,1277.00,1250.10,7.06,-0.02
Sep 07 2018,1278.60,1264.90,1281.35,1254.50,10.69,0.01
Sep 06 2018,1261.40,1230.15,1265.70,1225.35,11.20,0.03
Sep 05 2018,1227.00,1242.50,1252.65,1208.50,10.32,-0.01
Sep 04 2018,1241.95,1235.15,1254.80,1229.00,8.84,0.01
Sep 03 2018,1229.15,1245.00,1257.90,1226.05,12.20,-0.01
